id,name,wear,rarity,price,steam_price,sell_num,buy_num,rate_7,rate_30,inventory
5430,印花 | Virtus.Pro | 2015年科隆锦标赛,,高级,24.95,35.54,43,64,+0.64,-4.00,
5431,印花 | Virtus.Pro | 2016年科隆锦标赛,,高级,28.88,42.9,26,6,-0.34,-0.48,
5432,印花 | Virtus.Pro | 2014年 DreamHack 锦标赛,,高级,173.75,251.8,12,41,-2.35,-12.36,
5433,印花 | Virtus.Pro | 2014年卡托维兹锦标赛,,高级,5888.0,0,4,16,,+21.28,
5434,印花 | Virtus.Pro | 2017年克拉科夫锦标赛,,高级,20.7,34.76,34,82,+0.48,+3.50,
5435,印花 | Virtus.Pro | 2016年 MLG 哥伦布锦标赛,,高级,24.99,39.21,28,279,-10.72,-9.69,
5436,印花 | Virtus.pro（闪亮）| 2015年卡托维兹锦标赛,,奇异,648.5,1503.4,12,10,,-6.69,
5437,印花 | Virtus.pro（全息）| 2015年卡托维兹锦标赛,,卓越,1633.0,2909.43,50,12,-11.65,-18.31,
5438,印花 | Virtus.pro | 2015年卡托维兹锦标赛,,高级,100.0,136.45,23,15,+14.82,-4.85,
5439,印花 | Vox Eminor | 2015年卡托维兹锦标赛,,高级,549.95,682.45,23,17,+18.04,-3.08,
5440,印花 | Vox Eminor（闪亮）| 2015年卡托维兹锦标赛,,奇异,2499.49,3204.79,15,9,-2.67,-5.29,
5441,印花 | Vox Eminor（全息）| 2014年科隆锦标赛,,卓越,803.5,1107.84,35,13,-1.59,-2.78,
5442,印花 | Vox Eminor（全息）| 2014年卡托维兹锦标赛,,卓越,205151.86,0,1,16,,,
5443,印花 | Vox Eminor（全息）| 2015年卡托维兹锦标赛,,卓越,11999.5,0,53,20,,-17.24,
5444,印花 | Vox Eminor | 2014年科隆锦标赛,,高级,145.0,203.06,58,19,+10.27,-3.33,
5445,印花 | Vox Eminor | 2014年卡托维兹锦标赛,,高级,7899.5,9415.99,15,10,+0.63,+16.17,
5446,印花 | 反恐快打,,高级,4.21,4.64,81,116,+1.20,+35.37,
5447,印花 | 战争企鹅,,高级,5.85,7.73,80,118,-2.50,+11.64,
5448,印花 | 猫头鹰战士,,高级,4.7,7.38,66,115,-0.21,-0.84,
5449,印花 | 滋水枪,,高级,7.2,11.64,77,14,+22.24,+16.88,
5450,印花 | 欢迎翻盘,,高级,6.48,10.5,58,14,+10.20,+28.06,
5451,印花 | 风行俱乐部,,高级,5.44,6.83,39,119,-0.37,+8.37,
5452,印花 | 拆弹天使,,高级,4254.5,5222.85,2,11,,-4.50,
5453,印花 | 巫女,,高级,5.64,6.85,108,111,+0.18,+4.64,
5454,印花 | 死亡先知,,高级,5.56,7.47,96,111,+7.54,-3.64,
5455,印花 | 卖身求弹药,,高级,5.75,6.53,59,115,-9.52,+8.16,
5456,印花 | WorldEdit（闪亮）| 2017年亚特兰大锦标赛,,奇异,349.0,390.2,7,3,-0.14,-4.25,
5457,印花 | WorldEdit（闪亮）| 2018年波士顿锦标赛,,卓越,70.0,72.8,13,8,+16.67,+28.84,
5458,印花 | WorldEdit（闪亮）| 2015年卢日-纳波卡锦标赛,,奇异,555.0,395.73,1,5,,,
5459,印花 | WorldEdit（闪亮）| 2015年科隆锦标赛,,奇异,150.0,170.67,9,4,,+1.08,
5460,印花 | WorldEdit（闪亮）| 2016年科隆锦标赛,,奇异,500.0,392.32,4,2,-6.98,-6.98,
5461,印花 | WorldEdit（闪亮）| 2017年克拉科夫锦标赛,,卓越,133.0,182.39,32,10,-0.38,-6.34,
5512,印花 | Zeus | 2015年科隆锦标赛,,高级,29.0,32.24,21,3,-3.33,-3.33,
5513,印花 | Zeus | 2016年科隆锦标赛,,高级,36.88,47.5,21,3,,+84.49,
5514,印花 | Zeus | 2017年克拉科夫锦标赛,,高级,16.49,21.24,33,1,-4.63,+10.67,
5515,印花 | Zeus | 2016年 MLG 哥伦布锦标赛,,高级,9.48,20.48,21,7,,,
5516,印花 | 跳跳先生,,高级,1.11,2.12,162,37,+12.12,-61.46,
5517,印花 | 僵尸情人,,高级,3.87,6.47,35,110,-1.02,-3.25,
5518,印花 | abE（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,75.81,84.34,24,1,-6.32,-7.54,
5519,印花 | abE | 2016年 MLG 哥伦布锦标赛,,高级,26.0,40.4,7,10,,-3.70,
5520,印花 | adreN（闪亮）| 2015年卢日-纳波卡锦标赛,,奇异,138.0,142.49,2,2,,-0.36,
5521,印花 | adreN（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,152.0,243.69,7,1,-0.65,-0.98,
5522,印花 | adreN | 2015年卢日-纳波卡锦标赛,,高级,34.4,335.76,13,3,-5.47,+10.26,
5523,印花 | adreN | 2016年 MLG 哥伦布锦标赛,,高级,18.57,33.84,28,5,-1.17,+3.28,
5524,印花 | aizy（闪亮）| 2017年亚特兰大锦标赛,,奇异,158.0,261.16,6,4,-0.63,-5.39,
5525,印花 | aizy（闪亮）| 2018年波士顿锦标赛,,卓越,75.5,118.64,29,4,+0.13,-0.26,
5526,印花 | aizy（闪亮）| 2015年卢日-纳波卡锦标赛,,奇异,360.5,460.0,5,4,-2.17,-2.30,
5527,印花 | aizy（闪亮）| 2016年科隆锦标赛,,奇异,229.5,971.72,8,3,-0.22,-4.38,
5528,印花 | aizy（闪亮）| 2017年克拉科夫锦标赛,,卓越,129.0,157.96,15,14,,-14.00,
5529,印花 | aizy（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,108.0,128.94,7,1,-8.09,-54.91,
5530,印花 | aizy（金色）| 2018年波士顿锦标赛,,非凡,1548.0,0,3,5,-0.03,-0.03,
5531,印花 | aizy（金色）| 2017年克拉科夫锦标赛,,非凡,1674.5,2424.9,10,1,-6.97,-30.20,
5532,印花 | aizy | 2017年亚特兰大锦标赛,,高级,27.7,24.75,10,81,+2.59,-0.72,
5533,印花 | aizy | 2018年波士顿锦标赛,,高级,9.41,13.92,40,26,-3.49,-7.29,
5534,印花 | aizy | 2015年卢日-纳波卡锦标赛,,高级,287.5,591.3,4,4,-11.81,-21.23,
5535,印花 | aizy | 2016年科隆锦标赛,,高级,65.0,55.33,13,3,-7.01,-7.01,
5536,印花 | aizy | 2017年克拉科夫锦标赛,,高级,20.5,23.04,33,3,,+27.89,
5537,印花 | aizy | 2016年 MLG 哥伦布锦标赛,,高级,24.91,21.24,19,5,,-2.39,
5538,印花 | allu（闪亮）| 2017年亚特兰大锦标赛,,奇异,341.0,438.22,6,1,-0.29,-0.87,
5539,印花 | allu（闪亮）| 2015年卢日-纳波卡锦标赛,,奇异,77.5,109.21,21,2,-11.83,-41.06,
5540,印花 | allu（闪亮）| 2015年科隆锦标赛,,奇异,79.0,102.31,10,6,,-0.25,
5541,印花 | allu（闪亮）| 2017年克拉科夫锦标赛,,卓越,98.9,116.2,21,8,-0.10,-3.98,
5542,印花 | allu（金色）| 2017年克拉科夫锦标赛,,非凡,1399.0,2797.97,8,2,-12.54,-29.61,
5543,印花 | allu | 2017年亚特兰大锦标赛,,高级,49.8,36.13,13,1,-16.86,+28.02,
5544,印花 | allu | 2015年卢日-纳波卡锦标赛,,高级,16.9,19.14,23,2,-8.65,-15.50,
5545,印花 | allu | 2015年科隆锦标赛,,高级,16.37,16.92,35,10,-0.67,+32.77,
5546,印花 | allu | 2017年克拉科夫锦标赛,,高级,14.3,21.97,34,9,-4.16,-12.80,
5547,印花 | apEX（闪亮）| 2017年亚特兰大锦标赛,,奇异,600.0,1062.2,4,2,-24.95,-79.22,
5548,印花 | apEX（闪亮）| 2018年波士顿锦标赛,,卓越,69.89,102.08,19,2,,-24.68,
5549,印花 | apEX（闪亮）| 2015年克卢日-纳波卡锦标赛,,奇异,298.5,395.73,7,3,+0.17,,
5550,印花 | apEX（闪亮）| 2015年科隆锦标赛,,奇异,138.5,346.28,9,2,,,
5551,印花 | apEX（闪亮）| 2016年科隆锦标赛,,奇异,519.5,3536.96,4,1,-0.10,-33.18,
5552,印花 | apEX（闪亮）| 2017年克拉科夫锦标赛,,卓越,308.45,428.31,29,10,+4.56,-6.53,
5553,印花 | apEX（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,588.0,158.24,2,7,-0.15,+236.77,
5554,印花 | apEX（金色）| 2018年波士顿锦标赛,,非凡,4388.0,0,2,1,,,
5555,印花 | apEX（金色）| 2017年克拉科夫锦标赛,,非凡,0,10234.85,0,1,,,
5556,印花 | apEX | 2017年亚特兰大锦标赛,,高级,50.96,73.79,13,1,-3.58,-5.58,
5557,印花 | apEX | 2018年波士顿锦标赛,,高级,9.87,19.67,32,4,-1.20,-19.30,
5558,印花 | apEX | 2015年克卢日-纳波卡锦标赛,,高级,34.18,44.48,17,4,-0.06,+6.91,
5559,印花 | apEX | 2015年科隆锦标赛,,高级,27.2,36.94,36,34,-16.92,-34.25,
5560,印花 | apEX | 2016年科隆锦标赛,,高级,74.64,80.89,7,2,-0.29,+6.63,
5561,印花 | apEX | 2017年克拉科夫锦标赛,,高级,25.63,42.6,39,8,-1.61,-10.07,
5612,印花 | byali（金色）| 2017年克拉科夫锦标赛,,非凡,2349.5,3169.12,7,1,-1.24,-1.26,
5613,印花 | byali | 2017年亚特兰大锦标赛,,高级,32.1,24.75,19,5,-0.62,-6.69,
5614,印花 | byali | 2018年波士顿锦标赛,,高级,8.46,17.67,43,22,+9.16,-16.49,
5615,印花 | byali | 2015年克卢日-纳波卡锦标赛,,高级,31.09,35.46,15,1,-0.32,-10.30,
5616,印花 | byali | 2015年科隆锦标赛,,高级,24.9,27.05,20,7,+0.48,+12.47,
5617,印花 | byali | 2016年科隆锦标赛,,高级,27.4,43.87,10,4,-1.08,+3.79,
5618,印花 | byali | 2017年克拉科夫锦标赛,,高级,16.4,27.76,40,3,-1.80,-1.20,
5619,印花 | byali | 2016年 MLG 哥伦布锦标赛,,高级,21.79,33.58,10,20,,,
5620,印花 | cajunb（闪亮）| 2017年亚特兰大锦标赛,,奇异,2086.0,1978.12,4,1,,-0.11,
5621,印花 | cajunb（闪亮）| 2018年波士顿锦标赛,,卓越,59.9,76.5,24,4,,-9.26,
5622,印花 | cajunb（闪亮）| 2015年卢日-纳波卡锦标赛,,奇异,117.5,87.95,15,3,+0.86,,
5623,印花 | cajunb（闪亮）| 2015年科隆锦标赛,,奇异,87.9,94.7,14,1,+0.11,-9.85,
5624,印花 | cajunb（闪亮）| 2016年科隆锦标赛,,奇异,169.5,169.93,7,6,+0.30,-0.29,
5625,印花 | cajunb（闪亮）| 2017年克拉科夫锦标赛,,卓越,137.87,157.02,27,9,+2.66,-0.38,
5626,印花 | cajunb（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,84.75,98.01,25,5,-0.26,-3.14,
5627,印花 | cajunb（金色）| 2018年波士顿锦标赛,,非凡,4799.0,3639.76,2,1,,,
5628,印花 | cajunb（金色）| 2017年克拉科夫锦标赛,,非凡,1922.0,3107.56,12,1,-1.28,-14.58,
5629,印花 | cajunb | 2017年亚特兰大锦标赛,,高级,47.8,54.48,17,3,-0.42,-2.45,
5630,印花 | cajunb | 2018年波士顿锦标赛,,高级,9.57,19.2,58,85,-0.52,-1.24,
5631,印花 | cajunb | 2015年卢日-纳波卡锦标赛,,高级,19.89,21.41,23,1,-6.58,-20.12,
5632,印花 | cajunb | 2015年科隆锦标赛,,高级,16.77,18.37,17,4,-0.12,-0.18,
5633,印花 | cajunb | 2017年克拉科夫锦标赛,,高级,16.86,23.61,30,13,+3.06,+17.25,
5634,印花 | cajunb | 2016年 MLG 哥伦布锦标赛,,高级,16.46,22.2,18,7,-4.91,-12.96,
5635,印花 | captainMo（闪亮）| 2018年波士顿锦标赛,,卓越,578.5,0,6,4,-0.09,-0.17,
5636,印花 | captainMo（金色）| 2018年波士顿锦标赛,,非凡,40609.0,0,1,8,,-3.31,
5637,印花 | captainMo | 2018年波士顿锦标赛,,高级,150.0,245.41,23,1,,-8.53,
5638,印花 | chopper（闪亮）| 2018年波士顿锦标赛,,卓越,77.5,113.93,24,5,-0.51,-1.65,
5639,印花 | chopper（闪亮）| 2017年克拉科夫锦标赛,,卓越,162.5,205.74,44,13,-1.22,+3.54,
5640,印花 | chopper（金色）| 2018年波士顿锦标赛,,非凡,1996.0,1465.27,7,10,-0.05,-0.08,
5641,印花 | chopper（金色）| 2017年克拉科夫锦标赛,,非凡,3333.0,0,8,1,,+7.93,
5642,印花 | chopper | 2018年波士顿锦标赛,,高级,11.35,21.98,50,22,-2.83,-24.33,
5643,印花 | chopper | 2017年克拉科夫锦标赛,,高级,25.99,31.18,26,1,-0.04,+30.08,
5644,印花 | chrisJ（闪亮）| 2017年亚特兰大锦标赛,,奇异,254.9,331.37,7,1,-1.96,-1.96,
5645,印花 | chrisJ（闪亮）| 2018年波士顿锦标赛,,卓越,49.0,89.1,61,5,-0.20,-0.81,
5646,印花 | chrisJ（闪亮）| 2015年卢日-纳波卡锦标赛,,奇异,299.5,341.24,3,1,,-0.17,
5647,印花 | chrisJ（闪亮）| 2015年科隆锦标赛,,奇异,150.0,190.25,7,3,,+2.05,
5648,印花 | chrisJ（闪亮）| 2016年科隆锦标赛,,奇异,189.5,226.68,9,1,-0.26,-4.29,
5649,印花 | chrisJ（闪亮）| 2017年克拉科夫锦标赛,,卓越,123.3,194.51,23,14,-0.87,-11.61,
5650,印花 | chrisJ（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,139.0,158.54,19,4,-12.85,-14.72,
5651,印花 | chrisJ（金色）| 2018年波士顿锦标赛,,非凡,1200.0,1819.88,4,5,-19.44,-19.44,
5652,印花 | chrisJ（金色）| 2017年克拉科夫锦标赛,,非凡,1499.0,2092.85,7,1,-17.55,-32.54,
5653,印花 | chrisJ | 2017年亚特兰大锦标赛,,高级,44.4,35.57,29,5,-0.22,-1.11,
5654,印花 | chrisJ | 2015年卢日-纳波卡锦标赛,,高级,79.0,78.47,10,8,-0.75,-37.80,
5655,印花 | chrisJ | 2015年科隆锦标赛,,高级,60.0,50.5,9,3,,-12.79,
5656,印花 | chrisJ | 2016年科隆锦标赛,,高级,33.79,34.76,20,6,-18.93,-19.07,
5657,印花 | chrisJ | 2017年克拉科夫锦标赛,,高级,19.84,30.85,37,67,-7.20,-12.98,
5658,印花 | chrisJ | 2016年 MLG 哥伦布锦标赛,,高级,25.7,68.26,12,3,-0.39,-16.83,
5659,印花 | coldzera（闪亮）| 2017年亚特兰大锦标赛,,奇异,255.4,494.31,5,4,,,
5660,印花 | coldzera（闪亮）| 2018年波士顿锦标赛,,卓越,94.94,143.35,15,2,-3.11,-4.96,
5661,印花 | coldzera（闪亮）| 2015年卢日-纳波卡锦标赛,,奇异,200.0,190.3,3,2,+0.25,,
5712,印花 | device（闪亮）| 2015年卢日-纳波卡锦标赛,,奇异,276.83,308.2,8,17,+4.66,+0.16,
5713,印花 | device（闪亮）| 2015年科隆锦标赛,,奇异,249.5,387.43,11,5,,-16.83,
5714,印花 | device（闪亮）| 2016年科隆锦标赛,,奇异,869.0,1130.26,9,13,-3.34,+11.73,
5715,印花 | device（闪亮）| 2017年克拉科夫锦标赛,,卓越,197.98,379.97,33,15,-13.92,-22.60,
5716,印花 | device（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,399.5,445.87,6,10,-0.12,-0.50,
5717,印花 | device（金色）| 2018年波士顿锦标赛,,非凡,3399.5,5888.0,9,14,-22.87,-22.87,
5718,印花 | device（金色）| 2017年克拉科夫锦标赛,,非凡,5888.0,0,5,4,,-13.26,
5719,印花 | device | 2017年亚特兰大锦标赛,,高级,92.57,127.38,27,19,-0.34,-2.15,
5720,印花 | device | 2018年波士顿锦标赛,,高级,49.4,66.4,42,4,+1.10,-5.00,
5721,印花 | device | 2015年卢日-纳波卡锦标赛,,高级,45.5,63.16,16,3,-0.66,-1.83,
5722,印花 | device | 2015年科隆锦标赛,,高级,27.83,56.0,19,4,+0.36,-35.74,
5723,印花 | device | 2016年科隆锦标赛,,高级,137.99,197.91,13,20,-23.33,-30.66,
5724,印花 | device | 2017年克拉科夫锦标赛,,高级,37.0,50.96,46,39,-11.70,-11.90,
5725,印花 | device | 2016年 MLG 哥伦布锦标赛,,高级,67.96,93.78,10,1,,+0.79,
5726,印花 | devoduvek（闪亮）| 2018年波士顿锦标赛,,卓越,81.8,101.6,14,2,,+1.49,
5727,印花 | devoduvek（金色）| 2018年波士顿锦标赛,,非凡,1500.0,1412.39,2,5,,,
5728,印花 | devoduvek | 2018年波士顿锦标赛,,高级,9.65,15.92,36,271,-2.62,-16.59,
5729,印花 | dimasick（闪亮）| 2018年波士顿锦标赛,,卓越,129.5,182.4,13,1,-0.38,-11.88,
5730,印花 | dimasick（金色）| 2018年波士顿锦标赛,,非凡,16666.0,1250.7,1,1,+1288.83,-25.01,
5731,印花 | dimasick | 2018年波士顿锦标赛,,高级,49.7,68.13,16,10,-0.40,-9.64,
5732,印花 | disco doplan（闪亮）| 2017年亚特兰大锦标赛,,奇异,350.0,134.29,6,4,,,
5733,印花 | disco doplan | 2017年亚特兰大锦标赛,,高级,32.78,26.11,26,5,-0.64,-6.32,
5734,印花 | dupreeh（闪亮）| 2017年亚特兰大锦标赛,,奇异,500.0,490.19,4,1,,,
5735,印花 | dupreeh（闪亮）| 2018年波士顿锦标赛,,卓越,98.0,120.08,21,4,,-0.81,
5736,印花 | dupreeh（闪亮）| 2015年克卢日-纳波卡锦标赛,,奇异,115.5,143.17,15,7,+5.96,+8.29,
5737,印花 | dupreeh（闪亮）| 2015年科隆锦标赛,,奇异,69.63,114.54,17,3,-0.34,-12.81,
5738,印花 | dupreeh（闪亮）| 2016年科隆锦标赛,,奇异,280.0,276.7,8,2,-29.82,-29.82,
5739,印花 | dupreeh（闪亮）| 2017年克拉科夫锦标赛,,卓越,85.0,156.0,59,28,-10.71,-15.00,
5740,印花 | dupreeh（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,148.8,163.99,13,3,-1.33,-3.65,
5741,印花 | dupreeh（金色）| 2018年波士顿锦标赛,,非凡,1800.0,0,4,1,,-4.66,
5742,印花 | dupreeh（金色）| 2017年克拉科夫锦标赛,,非凡,2499.0,2632.74,9,1,,-0.04,
5743,印花 | dupreeh | 2017年亚特兰大锦标赛,,高级,28.0,122.88,36,7,+2.19,-6.67,
5744,印花 | dupreeh | 2018年波士顿锦标赛,,高级,11.89,17.83,58,18,-10.13,-13.09,
5745,印花 | dupreeh | 2015年克卢日-纳波卡锦标赛,,高级,20.98,30.6,13,4,,+8.03,
5746,印花 | dupreeh | 2015年科隆锦标赛,,高级,16.98,21.97,33,4,+36.94,-12.29,
5747,印花 | dupreeh | 2016年科隆锦标赛,,高级,39.0,54.51,18,5,+0.26,-8.86,
5748,印花 | dupreeh | 2017年克拉科夫锦标赛,,高级,19.0,21.74,89,6,+11.77,+13.50,
5749,印花 | dupreeh | 2016年 MLG 哥伦布锦标赛,,高级,26.0,22.68,24,12,-2.26,-2.62,
5750,印花 | electronic（闪亮）| 2017年亚特兰大锦标赛,,奇异,399.0,777.0,3,1,-11.33,-37.61,
5751,印花 | electronic（闪亮）| 2018年波士顿锦标赛,,卓越,52.18,79.16,42,3,-2.83,-6.99,
5752,印花 | electronic（闪亮）| 2017年克拉科夫锦标赛,,卓越,198.48,607.25,37,8,,-29.11,
5753,印花 | electronic（金色）| 2018年波士顿锦标赛,,非凡,3332.5,0,9,2,,-16.69,
5754,印花 | electronic（金色）| 2017年克拉科夫锦标赛,,非凡,8696.0,12106.18,9,7,-2.16,-62.73,
5755,印花 | electronic | 2017年亚特兰大锦标赛,,高级,132.7,92.36,22,8,-0.07,-1.70,
5756,印花 | electronic | 2018年波士顿锦标赛,,高级,9.08,13.47,42,14,-1.94,-7.25,
5757,印花 | electronic | 2017年克拉科夫锦标赛,,高级,46.31,69.0,44,26,-3.30,-1.99,
5758,印花 | emagine（闪亮）| 2015年科隆锦标赛,,奇异,89.9,153.48,8,4,-8.08,-8.17,
5759,印花 | emagine | 2015年科隆锦标赛,,高级,71.9,74.98,8,1,-0.14,-0.14,
5760,印花 | f0rest（闪亮）| 2015年卢日-纳波卡锦标赛,,奇异,158.0,190.0,15,12,-0.87,-2.26,
5761,印花 | f0rest（闪亮）| 2015年科隆锦标赛,,奇异,116.0,222.93,20,4,+0.43,-0.85,
5812,印花 | flusha（闪亮）| 2017年克拉科夫锦标赛,,卓越,96.0,102.4,13,10,-1.84,-4.00,
5813,印花 | flusha（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,142.47,189.35,17,2,-1.74,-6.26,
5814,印花 | flusha（金色）| 2018年波士顿锦标赛,,非凡,9000.0,3560.68,1,5,,,
5815,印花 | flusha（金色）| 2017年克拉科夫锦标赛,,非凡,2799.0,2300.0,6,1,-2.73,-2.76,
5816,印花 | flusha | 2017年亚特兰大锦标赛,,高级,27.88,33.7,10,4,,+3.30,
5817,印花 | flusha | 2018年波士顿锦标赛,,高级,13.1,29.03,57,4,-23.84,-27.22,
5818,印花 | flusha | 2015年卢日-纳波卡锦标赛,,高级,15.99,23.19,17,16,-1.78,-8.16,
5819,印花 | flusha | 2015年科隆锦标赛,,高级,13.9,29.18,24,5,-0.71,-18.19,
5820,印花 | flusha | 2016年科隆锦标赛,,高级,20.89,18.95,15,10,,-5.00,
5821,印花 | flusha | 2017年克拉科夫锦标赛,,高级,14.79,23.08,28,7,+13.77,+23.25,
5822,印花 | flusha | 2016年 MLG 哥伦布锦标赛,,高级,12.7,17.18,23,11,-0.78,+27.51,
5823,印花 | fnx（闪亮）| 2018年波士顿锦标赛,,卓越,880.0,544.95,5,1,,,
5824,印花 | fnx（闪亮）| 2016年科隆锦标赛,,奇异,309.0,198.11,7,1,,-0.16,
5825,印花 | fnx（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,185.0,237.4,13,3,-0.80,-2.63,
5826,印花 | fnx | 2018年波士顿锦标赛,,高级,129.5,121.61,9,1,,,
5827,印花 | fnx | 2016年科隆锦标赛,,高级,37.0,39.22,10,3,,,
5828,印花 | fnx | 2016年 MLG 哥伦布锦标赛,,高级,34.57,40.54,16,1,-0.86,+19.70,
5829,印花 | fox（闪亮）| 2017年亚特兰大锦标赛,,奇异,0,791.37,0,1,,,
5830,印花 | fox（闪亮）| 2015年卢日-纳波卡锦标赛,,奇异,170.0,313.86,5,1,,-2.30,
5831,印花 | fox（闪亮）| 2015年科隆锦标赛,,奇异,120.0,1179.99,16,5,-29.20,-28.53,
5832,印花 | fox（闪亮）| 2016年科隆锦标赛,,奇异,778.5,845.64,8,1,-0.06,+2.43,
5833,印花 | fox（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,200.0,300.73,4,2,,,
5834,印花 | fox | 2017年亚特兰大锦标赛,,高级,58.0,90.8,3,1,,,
5835,印花 | fox | 2015年卢日-纳波卡锦标赛,,高级,35.0,63.42,10,63,-22.22,-31.92,
5836,印花 | fox | 2015年科隆锦标赛,,高级,49.1,47.78,14,4,-1.80,+0.20,
5837,印花 | fox | 2016年科隆锦标赛,,高级,148.5,145.08,4,1,,,
5838,印花 | fox | 2016年 MLG 哥伦布锦标赛,,高级,39.6,73.89,11,1,,-12.00,
5839,印花 | freakazoid（闪亮）| 2015年克卢日-纳波卡锦标赛,,奇异,0,707.48,0,1,,,
5840,印花 | freakazoid（闪亮）| 2015年科隆锦标赛,,奇异,398.99,313.86,5,2,,-0.25,
5841,印花 | freakazoid（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,0,511.64,0,10,,,
5842,印花 | freakazoid | 2015年克卢日-纳波卡锦标赛,,高级,57.6,111.94,8,2,-0.16,-0.35,
5843,印花 | freakazoid | 2015年科隆锦标赛,,高级,24.68,42.9,13,3,,-10.42,
5844,印花 | freakazoid | 2016年 MLG 哥伦布锦标赛,,高级,49.99,75.83,19,74,,-22.42,
5845,印花 | friberg（闪亮）| 2015年卢日-纳波卡锦标赛,,奇异,87.9,170.67,16,2,-8.44,-55.58,
5846,印花 | friberg（闪亮）| 2015年科隆锦标赛,,奇异,139.8,165.49,9,3,-0.36,-1.06,
5847,印花 | friberg（闪亮）| 2016年科隆锦标赛,,奇异,90.85,208.91,8,2,,-0.33,
5848,印花 | friberg（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,86.52,122.79,16,9,,-0.30,
5849,印花 | friberg | 2015年卢日-纳波卡锦标赛,,高级,20.56,30.13,9,1,-12.06,+7.81,
5850,印花 | friberg | 2015年科隆锦标赛,,高级,19.94,22.15,32,1,-0.55,-5.77,
5851,印花 | friberg | 2016年科隆锦标赛,,高级,30.0,23.75,9,71,,-11.77,
5852,印花 | friberg | 2016年 MLG 哥伦布锦标赛,,高级,16.75,22.38,25,3,-5.63,-5.63,
5853,印花 | gla1ve（闪亮）| 2017年亚特兰大锦标赛,,奇异,269.5,292.44,7,2,-0.18,-20.73,
5854,印花 | gla1ve（闪亮）| 2018年波士顿锦标赛,,卓越,46.45,78.47,9,6,,+0.37,
5855,印花 | gla1ve（闪亮）| 2016年科隆锦标赛,,奇异,175.04,363.98,11,4,-6.49,-12.04,
5856,印花 | gla1ve（闪亮）| 2017年克拉科夫锦标赛,,卓越,89.99,136.45,56,16,+1.49,+11.10,
5857,印花 | gla1ve（金色）| 2018年波士顿锦标赛,,非凡,1480.0,7904.64,3,1,,,
5858,印花 | gla1ve（金色）| 2017年克拉科夫锦标赛,,非凡,3332.5,5304.06,2,1,-15.63,-21.59,
5859,印花 | gla1ve | 2017年亚特兰大锦标赛,,高级,30.0,70.66,11,11,+20.10,-11.43,
5860,印花 | gla1ve | 2018年波士顿锦标赛,,高级,10.87,15.52,26,17,-0.82,+8.27,
5861,印花 | gla1ve | 2016年科隆锦标赛,,高级,39.69,45.81,4,8,+1.28,+0.25,
5912,印花 | jdm64（闪亮）| 2016年科隆锦标赛,,奇异,369.0,1888.0,6,4,+0.14,-0.14,
5913,印花 | jdm64（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,199.0,427.71,8,2,-4.56,-14.70,
5914,印花 | jdm64 | 2017年亚特兰大锦标赛,,高级,57.7,74.0,6,2,+6.87,+5.14,
5915,印花 | jdm64 | 2018年波士顿锦标赛,,高级,15.3,23.0,17,15,-1.92,-3.16,
5916,印花 | jdm64 | 2015年克卢日-纳波卡锦标赛,,高级,55.87,68.96,6,1,,-0.21,
5917,印花 | jdm64 | 2015年科隆锦标赛,,高级,39.4,64.89,12,10,-1.25,-0.76,
5918,印花 | jdm64 | 2016年科隆锦标赛,,高级,20.7,33.9,25,6,-0.96,-1.43,
5919,印花 | jdm64 | 2016年 MLG 哥伦布锦标赛,,高级,20.37,146.01,16,1,-1.69,-6.90,
5920,印花 | jkaem（闪亮）| 2015年卢日-纳波卡锦标赛,,奇异,91.8,118.84,11,5,,-0.22,
5921,印花 | jkaem（闪亮）| 2016年科隆锦标赛,,奇异,169.5,202.14,5,1,-5.57,+24.18,
5922,印花 | jkaem（闪亮）| 2016年 MLG 哥伦布锦标赛,,奇异,70.8,98.49,22,4,-3.01,-5.58,
5923,印花 | jkaem | 2015年卢日-纳波卡锦标赛,,高级,45.0,36.85,5,1,+12.50,+4.65,
5924,印花 | jkaem | 2016年科隆锦标赛,,高级,36.0,42.95,7,6,-2.70,-5.26,
5925,印花 | jkaem | 2016年 MLG 哥伦布锦标赛,,高级,24.49,24.41,22,6,-2.00,+25.01,
5926,印花 | jks（闪亮）| 2018年波士顿锦标赛,,卓越,299.5,369.46,12,23,,-8.13,
5927,印花 | jks（闪亮）| 2015年科隆锦标赛,,奇异,234.0,324.48,9,11,-2.09,-6.02,
5928,印花 | jks（金色）| 2018年波士顿锦标赛,,非凡,8000.0,11769.97,1,4,,+6.67,
